Comment,Center-X(mil),Center-Y(mil),Layer,Designator,Rotation
2450AT18B100E,"2,098,425","4,007,874",TopLayer,ANT1,180
2450AT18B100E,"3,649,606","4,007,874",TopLayer,ANT2,0
10uF 10V 0402 X5R,"3,011,811","2,624,016",TopLayer,C1,270
47nF 50V 0402 X7R,"2,976,378","2,624,016",TopLayer,C2,270
100nF 50V 0402 X7R,"3,076,772","2,635,827",TopLayer,C3,180
2.2uF 10V 0402 X5R,"3,090,551","2,685,039",TopLayer,C4,270
100nF 50V 0402 X7R,"3,055,118","2,685,039",TopLayer,C5,270
2.2uF 10V 0402 X5R,"3,068,898","2,734,252",TopLayer,C6,0
100nF 50V 0402 X7R,"2,507,874","2,535,433",BottomLayer,C7,90
100nF 50V 0402 X7R,"2,830,709","2,688,977",TopLayer,C8,90
10uF 10V 0402 X5R,"2,866,142","2,688,977",TopLayer,C9,90
10uF 10V 0402 X5R,"2,866,142","2,751,968",TopLayer,C10,270
22uF 10V 0603 X5R,"3,263,780","3,437,008",BottomLayer,C11,90
22uF 10V 0603 X5R,"3,263,780","3,437,008",TopLayer,C12,90
22uF 10V 0603 X5R,"3,263,780","3,346,457",BottomLayer,C13,270
22uF 10V 0603 X5R,"3,263,780","3,346,457",TopLayer,C14,270
22uF 10V 0603 X5R,"3,468,504","3,342,520",TopLayer,C15,270
22uF 10V 0603 X5R,"3,468,504","3,437,008",TopLayer,C16,90
100nF 50V 0402 X7R,"3,326,772","3,480,315",BottomLayer,C17,0
22uF 10V 0603 X5R,"3,263,780","3,122,047",TopLayer,C18,90
22uF 10V 0603 X5R,"3,263,780","3,122,047",BottomLayer,C19,90
22uF 10V 0603 X5R,"3,263,780","3,031,496",TopLayer,C20,270
22uF 10V 0603 X5R,"3,263,780","3,031,496",BottomLayer,C21,270
22uF 10V 0603 X5R,"3,468,504","3,027,559",TopLayer,C22,270
22uF 10V 0603 X5R,"3,468,504","3,122,047",TopLayer,C23,90
100nF 50V 0402 X7R,"3,326,772","3,165,354",BottomLayer,C24,0
10uF 10V 0402 X5R,"2,881,890","3,346,457",BottomLayer,C25,180
10uF 10V 0402 X5R,"2,314,961","3,263,780",TopLayer,C26,0
100nF 50V 0402 X7R,"2,314,961","3,299,213",TopLayer,C27,0
100nF 50V 0402 X7R,"2,688,976","3,276,575",BottomLayer,C28,90
DNP 0402,"2,838,582","3,267,716",BottomLayer,C29,270
10uF 10V 0402 X5R,"2,960,630","3,078,740",BottomLayer,C30,90
100nF 50V 0402 X7R,"2,913,386","3,043,307",BottomLayer,C31,180
10uF 10V 0402 X5R,"2,236,220","2,448,819",BottomLayer,C32,90
100nF 50V 0402 X7R,"2,200,787","2,448,819",BottomLayer,C33,90
10uF 10V 0402 X5R,"2,314,961","2,704,724",BottomLayer,C34,180
100nF 50V 0402 X7R,"2,314,961","2,740,157",BottomLayer,C35,180
100nF 50V 0402 X7R,"2,521,653","3,594,488",BottomLayer,C36,90
100pF 50V 0402 C0G,"2,482,283","3,885,827",BottomLayer,C37,270
100nF 50V 0402 X7R,"2,448,819","3,885,827",BottomLayer,C38,270
100nF 50V 0402 X7R,"2,383,858","3,885,827",BottomLayer,C39,270
100pF 50V 0402 C0G,"2,415,354","3,885,827",BottomLayer,C40,270
10uF 10V 0402 X5R,"2,576,772","3,889,764",BottomLayer,C41,270
100nF 50V 0402 X7R,"2,541,339","3,889,764",BottomLayer,C42,270
100nF 50V 0402 X7R,"2,448,819","3,694,882",BottomLayer,C43,0
100nF 50V 0402 X7R,"2,685,039","3,625,984",BottomLayer,C44,135
4.7uF 10V 0402 X5R,"2,448,819","3,627,953",BottomLayer,C45,0
100nF 50V 0402 X7R,"2,448,819","3,661,417",BottomLayer,C46,0
4.7uF 10V 0402 X5R,"2,381,890","3,740,157",TopLayer,C47,90
100nF 50V 0402 X7R,"2,326,772","3,625,000",TopLayer,C48,270
100nF 50V 0402 X7R,"2,771,653","3,760,827",TopLayer,C49,270
10uF 10V 0402 X5R,"2,807,087","3,760,827",TopLayer,C50,270
10uF 10V 0402 X5R,"2,877,953","3,760,827",TopLayer,C51,90
15pF 50V 0402 C0G,"2,763,780","3,598,425",TopLayer,C52,225
15pF 50V 0402 C0G,"2,807,087","3,641,732",TopLayer,C53,45
6pF 50V 0402 C0G,"2,385,827","3,901,575",TopLayer,C54,90
6pF 50V 0402 C0G,"2,385,827","3,838,583",TopLayer,C55,270
DNP 0402,"2,362,205","3,991,142",TopLayer,C56,270
DNP 0402,"2,267,716","3,991,142",TopLayer,C57,270
100nF 50V 0402 X7R,"3,265,748","3,590,551",BottomLayer,C58,90
100pF 50V 0402 C0G,"3,226,378","3,889,764",BottomLayer,C59,270
100nF 50V 0402 X7R,"3,192,913","3,889,764",BottomLayer,C60,270
100nF 50V 0402 X7R,"3,159,449","3,889,764",BottomLayer,C61,270
100pF 50V 0402 C0G,"3,125,984","3,889,764",BottomLayer,C62,270
10uF 10V 0402 X5R,"3,456,693","3,590,551",BottomLayer,C63,90
100nF 50V 0402 X7R,"3,285,433","3,889,764",BottomLayer,C64,270
100nF 50V 0402 X7R,"3,200,787","3,629,921",BottomLayer,C65,0
100nF 50V 0402 X7R,"3,423,228","3,590,551",BottomLayer,C66,90
4.7uF 10V 0402 X5R,"3,200,787","3,696,850",BottomLayer,C67,0
100nF 50V 0402 X7R,"3,200,787","3,663,386",BottomLayer,C68,0
4.7uF 10V 0402 X5R,"3,125,984","3,740,157",TopLayer,C69,90
100nF 50V 0402 X7R,"3,509,843","3,752,953",TopLayer,C70,90
100nF 50V 0402 X7R,"3,464,567","3,769,685",BottomLayer,C71,180
10uF 10V 0402 X5R,"3,448,819","3,803,150",BottomLayer,C72,180
10uF 10V 0402 X5R,"3,588,583","3,769,685",BottomLayer,C73,0
15pF 50V 0402 C0G,"3,509,843","3,625,984",TopLayer,C74,270
15pF 50V 0402 C0G,"3,509,843","3,688,976",TopLayer,C75,90
6pF 50V 0402 C0G,"3,173,249","3,937,028",TopLayer,C76,45
6pF 50V 0402 C0G,"3,129,901","3,893,680",TopLayer,C77,225
DNP 0402,"3,385,827","3,991,142",TopLayer,C78,270
DNP 0402,"3,480,315","3,991,142",TopLayer,C79,270
10uF 10V 0402 X5R,"2,582,677","3,102,362",TopLayer,C80,270
100nF 50V 0402 X7R,"2,547,244","3,102,362",TopLayer,C81,270
100nF 50V 0402 X7R,"2,503,937","3,086,614",BottomLayer,C82,0
100nF 50V 0402 X7R,"2,440,945","3,173,228",BottomLayer,C83,270
15pF 50V 0402 C0G,"2,488,189","3,027,559",TopLayer,C84,0
15pF 50V 0402 C0G,"2,425,197","3,027,559",TopLayer,C85,180
100nF 50V 0402 X7R,"2,523,622","3,342,520",BottomLayer,C86,90
100nF 50V 0402 X7R,"2,488,189","3,342,520",BottomLayer,C87,90
10uF 10V 0402 X5R,"2,452,756","3,342,520",BottomLayer,C88,90
TVS0500DRVR,"2,389,764","2,484,252",BottomLayer,D1,0
TVS0500DRVR,"3,456,693","2,811,023",TopLayer,D2,225
1N5819WS,"3,338,583","2,799,213",BottomLayer,D3,315
1N5819WS,"2,783,464","3,409,449",BottomLayer,D4,180
1N5819WS,"2,783,464","3,346,457",BottomLayer,D5,180
TVS0500DRVR,"2,110,236","3,476,378",BottomLayer,D6,0
SM712,"2,114,173","3,366,142",BottomLayer,D7,180
TVS0500DRVR,"2,110,236","3,098,425",BottomLayer,D8,0
SM712,"2,114,173","2,988,189",BottomLayer,D9,180
TVS0500DRVR,"2,732,284","2,586,614",TopLayer,D10,270
SM712,"3,133,858","2,539,370",TopLayer,D11,0
TVS0500DRVR,"3,637,795","2,901,575",BottomLayer,D12,180
SM712,"3,633,858","3,011,811",BottomLayer,D13,0
TVS0500DRVR,"3,637,795","3,279,528",BottomLayer,D14,180
SM712,"3,633,858","3,389,764",BottomLayer,D15,0
TVS0500DRVR,"2,972,441","3,948,819",BottomLayer,D16,270
SM712,"2,862,205","3,944,882",BottomLayer,D17,90
CDDFN10-3324P-ES,"2,889,764","2,996,063",BottomLayer,D18,90
CDDFN10-3324P-ES,"3,003,937","2,996,063",BottomLayer,D19,90
RGB LED,"2,874,016","3,413,386",TopLayer,D20,0
1N5819WS,"2,133,858","2,385,827",BottomLayer,D21,180
1N5819WS,"2,314,961","2,622,047",BottomLayer,D22,270
SP3031-01ETG,"3,046,260","3,127,953",TopLayer,D23,0
SP3031-01ETG,"3,046,260","3,246,063",TopLayer,D24,0
SP3031-01ETG,"2,952,756","3,188,976",BottomLayer,D25,0
SS34,"3,220,472","2,732,284",TopLayer,D26,90
BLM21SP111SN1D,"3,131,890","2,671,260",TopLayer,FB1,90
BLM21SP111SN1D,"3,468,504","3,389,764",BottomLayer,FB2,90
BLM21SP111SN1D,"3,468,504","3,074,803",BottomLayer,FB3,90
BLM15AX102SN1D,"2,263,780","3,280,512",TopLayer,FB4,270
BLM15AX102SN1D,"2,913,386","3,078,740",BottomLayer,FB5,0
BLM15AX102SN1D,"2,232,284","2,397,638",BottomLayer,FB6,180
BLM15AX102SN1D,"2,314,961","2,775,590",BottomLayer,FB7,0
BLM15AX102SN1D,"2,432,087","3,933,071",BottomLayer,FB8,180
BLM15AX102SN1D,"2,842,520","3,760,827",TopLayer,FB9,270
BLM15AX102SN1D,"2,576,772","3,952,756",BottomLayer,FB10,270
BLM15AX102SN1D,"3,176,181","3,937,008",BottomLayer,FB11,180
BLM15AX102SN1D,"3,526,575","3,769,685",BottomLayer,FB12,0
BLM15AX102SN1D,"3,439,961","3,541,339",BottomLayer,FB13,0
BLM15AX102SN1D,"2,618,110","3,102,362",TopLayer,FB14,90
BLM15AX102SN1D,"2,452,756","3,279,528",BottomLayer,FB15,270
TYPEC-304J-BCP16,"3,503,742","2,559,250",TopLayer,J1,45
1uH 3.3A 1008,"2,893,701","2,606,299",TopLayer,L1,180
1uH 3.3A 1008,"3,366,142","3,271,654",TopLayer,L2,0
1uH 3.3A 1008,"3,366,142","2,956,693",TopLayer,L3,0
10nF 300mA 0402,"2,381,890","3,690,945",TopLayer,L4,0
10uH 400mA 0603,"2,327,756","3,718,504",TopLayer,L5,270
