Altium Designer Pick and Place Locations
F:\OneDrive\Altium\Project Archieve (12 dec, 2024)\172-ExoSkeleton_PCB\Exoskeleton Node PCB V1.0\Project Outputs for ExoSkeleton Node PCB V1.0\Pick Place\Pick Place for PCB V1.0(Proto1).csv

========================================================================================================================
File Design Information:

Date:       30-03-26
Time:       17:45
Revision:   021255f29c118aa4f6ae711364feb64831379979
Variant:    Proto1
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"ANT1","63.3000mm","101.8000mm","TopLayer","180"
"C1","70.2000mm","75.1000mm","BottomLayer","180"
"C2","70.7000mm","73.1000mm","BottomLayer","0"
"C3","89.0000mm","86.5500mm","TopLayer","270"
"C4","84.4000mm","97.4000mm","BottomLayer","180"
"C5","84.8000mm","96.2000mm","BottomLayer","270"
"C6","79.7000mm","77.9000mm","TopLayer","180"
"C7","73.4000mm","74.2000mm","BottomLayer","90"
"C8","79.7000mm","77.0000mm","TopLayer","180"
"C9","83.8000mm","86.7000mm","TopLayer","270"
"C10","80.0000mm","78.2000mm","BottomLayer","90"
"C11","83.8000mm","89.0000mm","BottomLayer","90"
"C12","83.8000mm","89.0000mm","TopLayer","90"
"C13","83.8000mm","86.7000mm","BottomLayer","270"
"C14","79.1000mm","78.2000mm","BottomLayer","270"
"C15","78.2000mm","78.2000mm","BottomLayer","90"
"C16","89.0000mm","89.0000mm","TopLayer","90"
"C17","85.4000mm","90.1000mm","BottomLayer","0"
"C18","78.2000mm","76.6000mm","BottomLayer","270"
"C19","79.1000mm","76.6000mm","BottomLayer","90"
"C25","71.5750mm","89.4000mm","BottomLayer","0"
"C26","68.8000mm","83.1000mm","TopLayer","0"
"C27","68.8000mm","84.0000mm","TopLayer","0"
"C28","73.3000mm","88.2250mm","BottomLayer","90"
"C32","66.7000mm","72.0000mm","BottomLayer","90"
"C33","65.8000mm","72.0000mm","BottomLayer","90"
"C34","68.0000mm","79.6000mm","BottomLayer","180"
"C35","68.0000mm","80.5000mm","BottomLayer","180"
"C36","74.0500mm","91.3000mm","BottomLayer","90"
"C37","73.0500mm","98.7000mm","BottomLayer","270"
"C38","72.2000mm","98.7000mm","BottomLayer","270"
"C39","70.5500mm","98.7000mm","BottomLayer","270"
"C40","71.3500mm","98.7000mm","BottomLayer","270"
"C41","75.4500mm","98.8000mm","BottomLayer","270"
"C42","74.5500mm","98.8000mm","BottomLayer","270"
"C43","72.2000mm","93.8500mm","BottomLayer","0"
"C44","78.2000mm","92.1000mm","BottomLayer","135"
"C45","72.2000mm","92.1500mm","BottomLayer","0"
"C46","72.2000mm","93.0000mm","BottomLayer","0"
"C47","70.5000mm","95.0000mm","TopLayer","90"
"C48","69.1000mm","92.0750mm","TopLayer","270"
