Comment,Center-X(mil),Center-Y(mil),Designator,Layer,Rotation
2450AT18B100E,"2,492,125","4,007,875",ANT1,TopLayer,180
10uF 10V 0402 X5R,"2,803,150","2,937,008",C1,BottomLayer,0
10uF 10V 0402 X5R,"2,783,465","2,877,953",C2,BottomLayer,0
22uF 10V 0603 X5R,"3,503,937","3,407,480",C3,TopLayer,270
10uF 10V 0402 X5R,"3,322,835","3,834,646",C4,BottomLayer,180
100nF 50V 0402 X7R,"3,338,583","3,787,402",C5,BottomLayer,270
10uF 10V 0402 X5R,"3,137,795","3,066,929",C6,TopLayer,180
100nF 50V 0402 X7R,"2,889,764","2,921,260",C7,BottomLayer,90
100nF 50V 0402 X7R,"3,137,795","3,031,496",C8,TopLayer,180
22uF 10V 0603 X5R,"3,299,213","3,413,386",C9,TopLayer,270
100nF 50V 0402 X7R,"3,149,606","3,078,740",C10,BottomLayer,90
22uF 10V 0603 X5R,"3,299,213","3,503,937",C11,BottomLayer,90
22uF 10V 0603 X5R,"3,299,213","3,503,937",C12,TopLayer,90
22uF 10V 0603 X5R,"3,299,213","3,413,386",C13,BottomLayer,270
10uF 10V 0402 X5R,"3,114,173","3,078,740",C14,BottomLayer,270
100nF 50V 0402 X7R,"3,078,740","3,078,740",C15,BottomLayer,90
22uF 10V 0603 X5R,"3,503,937","3,503,937",C16,TopLayer,90
100nF 50V 0402 X7R,"3,362,205","3,547,244",C17,BottomLayer,0
100nF 50V 0402 X7R,"3,078,740","3,015,748",C18,BottomLayer,270
10uF 10V 0402 X5R,"3,114,173","3,015,748",C19,BottomLayer,90
10uF 10V 0402 X5R,"2,817,913","3,519,685",C25,BottomLayer,0
10uF 10V 0402 X5R,"2,708,661","3,271,653",C26,TopLayer,0
100nF 50V 0402 X7R,"2,708,661","3,307,087",C27,TopLayer,0
100nF 50V 0402 X7R,"2,885,827","3,473,425",C28,BottomLayer,90
DNP 0402,"3,035,433","3,464,567",C29,BottomLayer,270
10uF 10V 0402 X5R,"2,625,984","2,834,646",C32,BottomLayer,90
100nF 50V 0402 X7R,"2,590,551","2,834,646",C33,BottomLayer,90
10uF 10V 0402 X5R,"2,677,165","3,133,858",C34,BottomLayer,180
100nF 50V 0402 X7R,"2,677,165","3,169,291",C35,BottomLayer,180
100nF 50V 0402 X7R,"2,915,353","3,594,489",C36,BottomLayer,90
100pF 50V 0402 C0G,"2,875,983","3,885,828",C37,BottomLayer,270
100nF 50V 0402 X7R,"2,842,519","3,885,828",C38,BottomLayer,270
100nF 50V 0402 X7R,"2,777,558","3,885,828",C39,BottomLayer,270
100pF 50V 0402 C0G,"2,809,054","3,885,828",C40,BottomLayer,270
10uF 10V 0402 X5R,"2,970,472","3,889,765",C41,BottomLayer,270
100nF 50V 0402 X7R,"2,935,038","3,889,765",C42,BottomLayer,270
100nF 50V 0402 X7R,"2,842,519","3,694,883",C43,BottomLayer,0
100nF 50V 0402 X7R,"3,078,739","3,625,985",C44,BottomLayer,135
4.7uF 10V 0402 X5R,"2,842,519","3,627,954",C45,BottomLayer,0
100nF 50V 0402 X7R,"2,842,519","3,661,418",C46,BottomLayer,0
4.7uF 10V 0402 X5R,"2,775,590","3,740,159",C47,TopLayer,90
100nF 50V 0402 X7R,"2,720,472","3,625,001",C48,TopLayer,270
100nF 50V 0402 X7R,"3,165,353","3,760,828",C49,TopLayer,270
10uF 10V 0402 X5R,"3,200,786","3,760,828",C50,TopLayer,270
10uF 10V 0402 X5R,"3,271,653","3,760,828",C51,TopLayer,90
15pF 50V 0402 C0G,"3,157,479","3,598,426",C52,TopLayer,225
15pF 50V 0402 C0G,"3,200,786","3,641,733",C53,TopLayer,45
6pF 50V 0402 C0G,"2,779,526","3,901,576",C54,TopLayer,90
6pF 50V 0402 C0G,"2,779,526","3,838,584",C55,TopLayer,270
DNP 0402,"2,755,905","3,991,143",C56,TopLayer,270
DNP 0402,"2,661,416","3,991,143",C57,TopLayer,270
10uF 10V 0402 X5R,"3,673,228","3,913,385",C80,TopLayer,270
100nF 50V 0402 X7R,"3,637,795","3,913,385",C81,TopLayer,270
100nF 50V 0402 X7R,"3,594,488","3,897,637",C82,BottomLayer,0
100nF 50V 0402 X7R,"3,531,496","3,984,252",C83,BottomLayer,270
15pF 50V 0402 C0G,"3,578,740","3,838,582",C84,TopLayer,0
15pF 50V 0402 C0G,"3,515,748","3,838,582",C85,TopLayer,180
100nF 50V 0402 X7R,"3,311,024","4,003,937",C86,BottomLayer,90
100nF 50V 0402 X7R,"3,275,590","4,003,937",C87,BottomLayer,90
10uF 10V 0402 X5R,"3,240,157","4,003,937",C88,BottomLayer,90
SP3031-01ETG,"2,783,465","2,838,583",D1,BottomLayer,180
TVS0500DRVR,"3,456,693","3,204,724",D2,TopLayer,225
1N5819WS,"2,755,905","3,437,008",D3,BottomLayer,270
