sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,31618,331618,0.232543945,-0.109191895,-0.671569824,0.695007324,1.91796875,1.13671875,4.3125,-2.9921875,3.875,8.0859375,0.181640625,-0.763671875,0.3671875
1,31666,331666,0.230041504,-0.111877441,-0.671447754,0.695495605,-0.0625,1.2421875,2.38671875,-1.6640625,4.421875,8.171875,0.181640625,-0.763671875,0.3671875
2,31698,331698,0.227783203,-0.110778809,-0.672607422,0.6953125,-0.0625,1.2421875,2.38671875,-1.6640625,4.421875,8.171875,-0.802734375,0.146484375,-0.548828125
3,31746,331746,0.225402832,-0.107116699,-0.674377441,0.694946289,0.7265625,8.2890625,8.31640625,-1.5703125,4.3828125,8.21875,-0.802734375,0.146484375,-0.548828125
4,31778,331778,0.224487305,-0.106140137,-0.674194336,0.695556641,0.7265625,8.2890625,8.31640625,-1.5703125,4.3828125,8.21875,0.232421875,0.029296875,0.404296875
5,31826,331826,0.227539062,-0.108520508,-0.672607422,0.695739746,-2.078125,-3.453125,2.70703125,-1.6015625,4.2890625,8.2734375,0.232421875,0.029296875,0.404296875
6,31858,331858,0.231750488,-0.11114502,-0.671447754,0.695007324,-2.078125,-3.453125,2.70703125,-1.6015625,4.2890625,8.2734375,0.751953125,0.19921875,-0.001953125
7,46187,346187,0.259460449,-0.0543823242,-0.678833008,0.684814453,-2.078125,-3.453125,2.70703125,-1.609375,4.4375,8.1875,-0.462890625,2.16992188,-0.96484375
8,53465,353465,0.265991211,-0.0434570312,-0.679382324,0.682495117,1.796875,1.8671875,4.234375,-2.71875,4.0625,8.1640625,-0.462890625,2.16992188,-0.96484375
9,66087,366087,0.273010254,-0.0319824219,-0.679748535,0.679992676,1.796875,1.8671875,4.234375,-2.71875,4.0625,8.1640625,-0.466796875,2.58398438,-1.09570312
10,72842,372842,0.280334473,-0.0202026367,-0.679931641,0.677307129,1.9609375,1.96484375,4.5546875,-3.1875,3.9296875,8.0703125,-0.466796875,2.58398438,-1.09570312
11,86025,386025,0.288452148,-0.00695800781,-0.67980957,0.674255371,1.9609375,1.96484375,4.5546875,-3.1875,3.9296875,8.0703125,-0.509765625,2.89453125,-1.16992188
12,93333,393333,0.297180176,0.00695800781,-0.679504395,0.670715332,2.28515625,1.5,3.77734375,-3.703125,3.78125,7.9296875,-0.509765625,2.89453125,-1.16992188
13,106696,406696,0.306030273,0.0209960938,-0.679077148,0.666870117,2.28515625,1.5,3.77734375,-3.703125,3.78125,7.9296875,-0.501953125,3.20898438,-1.3359375
14,113446,413446,0.314880371,0.0353393555,-0.678466797,0.662780762,2.625,1.9375,3.66796875,-4.2734375,3.609375,7.734375,-0.501953125,3.20898438,-1.3359375
15,126599,426599,0.324157715,0.0508422852,-0.677612305,0.658203125,2.625,1.9375,3.66796875,-4.2734375,3.609375,7.734375,-0.595703125,3.40820312,-1.41601562
16,133468,433468,0.333679199,0.0667114258,-0.676452637,0.653198242,2.61328125,1.26171875,2.375,-4.875,3.40625,7.4921875,-0.595703125,3.40820312,-1.41601562
17,145171,445171,0.343505859,0.0825805664,-0.674987793,0.647705078,2.61328125,1.26171875,2.375,-4.875,3.40625,7.4921875,-0.482421875,3.58203125,-1.4765625
18,153047,453047,0.353210449,0.0979614258,-0.673339844,0.642089844,2.609375,0.84375,2.3359375,-5.484375,3.171875,7.1875,-0.482421875,3.58203125,-1.4765625
19,165169,465169,0.363464355,0.114318848,-0.671264648,0.635803223,2.609375,0.84375,2.3359375,-5.484375,3.171875,7.1875,-0.486328125,3.69921875,-1.49804688
20,172836,472836,0.37322998,0.130126953,-0.668884277,0.629577637,2.97265625,0.609375,1.72265625,-6.078125,2.9453125,6.8046875,-0.486328125,3.69921875,-1.49804688
21,185630,485630,0.383422852,0.146789551,-0.666015625,0.622802734,2.97265625,0.609375,1.72265625,-6.078125,2.9453125,6.8046875,-0.509765625,3.83984375,-1.49804688
22,193167,493167,0.393432617,0.163085938,-0.662719727,0.615966797,3.09375,0.66796875,2.0390625,-6.65625,2.6953125,6.375,-0.509765625,3.83984375,-1.49804688
23,206502,506502,0.403869629,0.1796875,-0.658996582,0.608581543,3.09375,0.66796875,2.0390625,-6.65625,2.6953125,6.375,-0.39453125,3.93359375,-1.44921875
24,213471,513471,0.414855957,0.196228027,-0.654785156,0.600585938,2.99609375,-0.0703125,0.46875,-7.2109375,2.4375,5.875,-0.39453125,3.93359375,-1.44921875
25,225159,525159,0.425537109,0.211730957,-0.650390625,0.592529297,2.99609375,-0.0703125,0.46875,-7.2109375,2.4375,5.875,-0.205078125,3.9921875,-1.39257812
26,233056,533056,0.436096191,0.226623535,-0.645812988,0.584289551,3.42578125,-0.4375,-0.1484375,-7.71875,2.1953125,5.3046875,-0.205078125,3.9921875,-1.39257812
27,246029,546029,0.447143555,0.241943359,-0.64074707,0.575317383,3.42578125,-0.4375,-0.1484375,-7.71875,2.1953125,5.3046875,-0.12109375,4.00976562,-1.37890625
28,253365,553365,0.458068848,0.257324219,-0.635314941,0.565979004,3.12109375,-0.51953125,-0.11328125,-8.1796875,1.96875,4.6953125,-0.12109375,4.00976562,-1.37890625
29,266207,566207,0.468383789,0.272277832,-0.629638672,0.55682373,3.12109375,-0.51953125,-0.11328125,-8.1796875,1.96875,4.6953125,-0.19921875,3.96679688,-1.3359375
30,273835,573835,0.477905273,0.286132812,-0.623962402,0.548095703,3.17578125,-0.7734375,-0.4921875,-8.578125,1.7265625,4.0390625,-0.19921875,3.96679688,-1.3359375
31,286493,586493,0.487854004,0.30078125,-0.617553711,0.538696289,3.17578125,-0.7734375,-0.4921875,-8.578125,1.7265625,4.0390625,-0.1796875,3.90625,-1.25976562
32,294666,594666,0.497558594,0.315063477,-0.610900879,0.529174805,3.12109375,-0.6171875,-1.17578125,-8.90625,1.4921875,3.3828125,-0.1796875,3.90625,-1.25976562
33,307802,607802,0.506469727,0.328491211,-0.604309082,0.520019531,3.12109375,-0.6171875,-1.17578125,-8.90625,1.4921875,3.3828125,-0.20703125,3.73828125,-1.1875
34,313044,613044,0.515136719,0.341796875,-0.597473145,0.510742188,3.38671875,-0.23828125,-1.0703125,-9.171875,1.265625,2.703125,-0.20703125,3.73828125,-1.1875
35,327554,627554,0.523376465,0.354919434,-0.590515137,0.501403809,3.38671875,-0.23828125,-1.0703125,-9.171875,1.265625,2.703125,-0.2421875,3.66992188,-1.18945312
36,332794,632794,0.531311035,0.367675781,-0.583496094,0.492004395,3.12890625,-0.42578125,-2.0390625,-9.375,1.03125,2.0234375,-0.2421875,3.66992188,-1.18945312
37,345785,645785,0.53894043,0.379943848,-0.576599121,0.48236084,3.12890625,-0.42578125,-2.0390625,-9.375,1.03125,2.0234375,-0.134765625,3.52148438,-1.1953125
38,352840,652840,0.546081543,0.391296387,-0.570129395,0.472839355,3.0390625,-0.20703125,-1.95703125,-9.515625,0.8125,1.3671875,-0.134765625,3.52148438,-1.1953125
39,370030,670030,0.553161621,0.402832031,-0.563476562,0.46282959,3.0390625,-0.20703125,-1.95703125,-9.515625,0.8125,1.3671875,-0.111328125,3.359375,-1.203125
40,378399,678399,0.559631348,0.414001465,-0.556884766,0.453186035,2.71484375,-0.0859375,-1.1640625,-9.609375,0.578125,0.7265625,-0.111328125,3.359375,-1.203125
41,389293,689293,0.566162109,0.425476074,-0.549804688,0.442932129,2.71484375,-0.0859375,-1.1640625,-9.609375,0.578125,0.7265625,-0.1015625,3.13085938,-1.1484375
42,392841,692841,0.571472168,0.434997559,-0.543762207,0.434204102,2.8984375,-0.38671875,-2.17578125,-9.640625,0.34375,0.09375,-0.1015625,3.13085938,-1.1484375
43,407180,707180,0.577026367,0.445129395,-0.536987305,0.424865723,2.8984375,-0.38671875,-2.17578125,-9.640625,0.34375,0.09375,-0.142578125,2.93359375,-1.04882812
44,412999,712999,0.581970215,0.45489502,-0.530334473,0.41607666,2.546875,-0.453125,-1.26171875,-9.6328125,0.140625,-0.4765625,-0.142578125,2.93359375,-1.04882812
45,425606,725606,0.586364746,0.464477539,-0.523498535,0.407897949,2.546875,-0.453125,-1.26171875,-9.6328125,0.140625,-0.4765625,-0.373046875,2.78710938,-1.015625
46,432654,732654,0.590148926,0.473632812,-0.516845703,0.400390625,2.66015625,-0.34375,-0.90625,-9.59375,-0.046875,-1.0234375,-0.373046875,2.78710938,-1.015625
47,446997,746997,0.593811035,0.483032227,-0.509765625,0.392700195,2.66015625,-0.34375,-0.90625,-9.59375,-0.046875,-1.0234375,-0.42578125,2.66992188,-0.9765625
48,453486,753486,0.597595215,0.492126465,-0.502685547,0.38470459,2.390625,-1.00390625,-2.78125,-9.515625,-0.2265625,-1.5234375,-0.42578125,2.66992188,-0.9765625
49,466369,766369,0.601318359,0.500183105,-0.49621582,0.37689209,2.390625,-1.00390625,-2.78125,-9.515625,-0.2265625,-1.5234375,-0.1796875,2.55078125,-0.875
50,472546,772546,0.604919434,0.507324219,-0.490234375,0.369262695,2.09765625,-0.83984375,-2.203125,-9.4140625,-0.390625,-2.0234375,-0.1796875,2.55078125,-0.875
51,487821,787821,0.608703613,0.514038086,-0.484375,0.36138916,2.09765625,-0.83984375,-2.203125,-9.4140625,-0.390625,-2.0234375,0.01953125,2.27539062,-0.716796875
52,493071,793071,0.612365723,0.520385742,-0.478637695,0.35369873,2.28515625,-0.76953125,-2.03515625,-9.296875,-0.5390625,-2.4609375,0.01953125,2.27539062,-0.716796875
53,506540,806540,0.615661621,0.526428223,-0.473022461,0.346496582,2.28515625,-0.76953125,-2.03515625,-9.296875,-0.5390625,-2.4609375,-0.05859375,2.14453125,-0.69140625
54,512646,812646,0.618408203,0.532043457,-0.467834473,0.340026855,1.69140625,-0.7578125,-1.27734375,-9.1640625,-0.6640625,-2.875,-0.05859375,2.14453125,-0.69140625
55,532730,832730,0.620910645,0.537963867,-0.462219238,0.333740234,1.69140625,-0.7578125,-1.27734375,-9.1640625,-0.6640625,-2.875,-0.259765625,1.96484375,-0.646484375
56,543512,843512,0.62310791,0.543457031,-0.456726074,0.32824707,1.90625,-0.87890625,-2.55078125,-9.03125,-0.7734375,-3.25,-0.259765625,1.96484375,-0.646484375
57,550999,850999,0.625244141,0.54864502,-0.45135498,0.322998047,1.90625,-0.87890625,-2.55078125,-9.03125,-0.7734375,-3.25,-0.234375,1.66015625,-0.482421875
58,554677,854677,0.627258301,0.553039551,-0.446533203,0.31829834,1.83984375,-0.6796875,-2.421875,-8.890625,-0.859375,-3.5703125,-0.234375,1.66015625,-0.482421875
59,566741,866741,0.629272461,0.556884766,-0.442138672,0.313720703,1.83984375,-0.6796875,-2.421875,-8.890625,-0.859375,-3.5703125,-0.083984375,1.41601562,-0.376953125
60,572549,872549,0.631103516,0.560241699,-0.438354492,0.309326172,1.36328125,-1,-3.79296875,-8.7578125,-0.921875,-3.84375,-0.083984375,1.41601562,-0.376953125
61,586489,886489,0.632751465,0.562988281,-0.435241699,0.305297852,1.36328125,-1,-3.79296875,-8.7578125,-0.921875,-3.84375,0.03125,1.08007812,-0.302734375
62,593219,893219,0.634155273,0.565307617,-0.432617188,0.301940918,1.453125,-0.90625,-3.65234375,-8.65625,-0.9765625,-4.0625,0.03125,1.08007812,-0.302734375
63,607025,907025,0.635192871,0.567321777,-0.430236816,0.299316406,1.453125,-0.90625,-3.65234375,-8.65625,-0.9765625,-4.0625,-0.09765625,0.734375,-0.201171875
64,614889,914889,0.635803223,0.569152832,-0.428100586,0.297546387,0.9765625,-0.8984375,-2.73046875,-8.5625,-1.0234375,-4.21875,-0.09765625,0.734375,-0.201171875
65,626793,926793,0.636108398,0.570739746,-0.426208496,0.296508789,0.9765625,-0.8984375,-2.73046875,-8.5625,-1.0234375,-4.21875,-0.22265625,0.416015625,-0.140625
