sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-868,4905,10240,-428,1657,-758,-0.105957031,0.598754883,1.25,-26.1230469,101.135254,-46.2646484
1,4992,304992,1,-922,4895,10272,-437,1765,-807,-0.112548828,0.59753418,1.25390625,-26.6723633,107.727051,-49.2553711
2,10000,310000,2,-981,4916,10325,-441,1870,-851,-0.119750977,0.600097656,1.26037598,-26.9165039,114.135742,-51.940918
3,14992,314992,3,-1037,4936,10397,-444,1972,-892,-0.126586914,0.602539062,1.26916504,-27.0996094,120.361328,-54.4433594
4,20000,320000,4,-1104,4937,10458,-449,2074,-931,-0.134765625,0.602661133,1.27661133,-27.4047852,126.586914,-56.8237305
5,24992,324992,5,-1186,4925,10509,-451,2175,-967,-0.144775391,0.601196289,1.28283691,-27.5268555,132.751465,-59.0209961
6,30000,330000,6,-1264,4910,10586,-452,2272,-998,-0.154296875,0.599365234,1.29223633,-27.5878906,138.671875,-60.9130859
7,34992,334992,7,-1318,4908,10679,-453,2366,-1025,-0.160888672,0.599121094,1.30358887,-27.6489258,144.40918,-62.5610352
8,40000,340000,8,-1334,4885,10724,-462,2451,-1046,-0.162841797,0.596313477,1.30908203,-28.1982422,149.597168,-63.8427734
9,44992,344992,9,-1339,4788,10611,-482,2528,-1062,-0.163452148,0.584472656,1.29528809,-29.4189453,154.296875,-64.8193359
10,50000,350000,10,-1371,4610,10311,-498,2596,-1075,-0.167358398,0.562744141,1.25866699,-30.3955078,158.447266,-65.612793
11,54992,354992,11,-1443,4440,9983,-499,2661,-1091,-0.176147461,0.541992188,1.21862793,-30.456543,162.414551,-66.5893555
12,60000,360000,12,-1538,4383,9784,-491,2739,-1120,-0.187744141,0.53503418,1.19433594,-29.9682617,167.175293,-68.359375
13,64992,364992,13,-1612,4441,9709,-480,2826,-1162,-0.196777344,0.542114258,1.18518066,-29.296875,172.485352,-70.9228516
14,70000,370000,14,-1643,4537,9670,-472,2906,-1208,-0.200561523,0.553833008,1.18041992,-28.8085938,177.368164,-73.7304688
15,74992,374992,15,-1663,4592,9558,-475,2971,-1245,-0.20300293,0.560546875,1.16674805,-28.9916992,181.335449,-75.9887695
16,80000,380000,16,-1715,4567,9327,-495,3023,-1272,-0.209350586,0.557495117,1.1385498,-30.2124023,184.509277,-77.6367188
17,84992,384992,17,-1802,4436,9005,-530,3070,-1292,-0.219970703,0.541503906,1.09924316,-32.3486328,187.37793,-78.8574219
18,90000,390000,18,-1931,4220,8675,-562,3113,-1311,-0.235717773,0.515136719,1.05895996,-34.3017578,190.002441,-80.0170898
19,94992,394992,19,-2118,3977,8434,-576,3161,-1331,-0.258544922,0.485473633,1.02954102,-35.15625,192.932129,-81.237793
20,100000,400000,20,-2321,3751,8273,-567,3209,-1351,-0.283325195,0.457885742,1.0098877,-34.6069336,195.861816,-82.4584961
21,104992,404992,21,-2480,3557,8175,-545,3252,-1370,-0.302734375,0.434204102,0.997924805,-33.2641602,198.486328,-83.6181641
22,110000,410000,22,-2615,3403,8104,-523,3294,-1387,-0.319213867,0.415405273,0.989257812,-31.9213867,201.049805,-84.6557617
23,114992,414992,23,-2727,3318,8032,-493,3330,-1397,-0.332885742,0.405029297,0.98046875,-30.090332,203.24707,-85.2661133
24,120000,420000,24,-2788,3293,8015,-466,3363,-1402,-0.340332031,0.401977539,0.978393555,-28.4423828,205.26123,-85.5712891
25,124992,424992,25,-2802,3249,7910,-455,3394,-1408,-0.342041016,0.396606445,0.965576172,-27.7709961,207.15332,-85.9375
26,130000,430000,26,-2813,3141,7637,-457,3417,-1412,-0.343383789,0.383422852,0.932250977,-27.8930664,208.557129,-86.1816406
27,134992,434992,27,-2871,3004,7357,-467,3440,-1415,-0.350463867,0.366699219,0.898071289,-28.503418,209.960938,-86.3647461
28,140000,440000,28,-3006,2900,7162,-482,3472,-1421,-0.366943359,0.354003906,0.874267578,-29.4189453,211.914062,-86.730957
29,144992,444992,29,-3186,2859,7105,-489,3510,-1429,-0.388916016,0.348999023,0.86730957,-29.8461914,214.233398,-87.2192383
30,150000,450000,30,-3286,2833,7139,-488,3550,-1434,-0.401123047,0.345825195,0.871459961,-29.7851562,216.674805,-87.5244141
31,154992,454992,31,-3319,2732,7057,-491,3581,-1428,-0.405151367,0.333496094,0.861450195,-29.9682617,218.566895,-87.1582031
32,160000,460000,32,-3375,2530,6729,-493,3602,-1413,-0.411987305,0.308837891,0.821411133,-30.090332,219.848633,-86.2426758
33,164992,464992,33,-3452,2305,6327,-489,3621,-1396,-0.421386719,0.28137207,0.772338867,-29.8461914,221.008301,-85.2050781
34,170000,470000,34,-3587,2159,5973,-477,3644,-1383,-0.437866211,0.263549805,0.729125977,-29.1137695,222.412109,-84.4116211
35,174992,474992,35,-3783,2043,5591,-432,3671,-1379,-0.461791992,0.249389648,0.682495117,-26.3671875,224.060059,-84.1674805
36,180000,480000,36,-3866,1908,5309,-365,3688,-1371,-0.471923828,0.232910156,0.648071289,-22.277832,225.097656,-83.6791992
37,184992,484992,37,-3808,1752,5052,-315,3696,-1353,-0.46484375,0.213867188,0.616699219,-19.2260742,225.585938,-82.5805664
38,190000,490000,38,-3836,1583,4684,-277,3709,-1335,-0.468261719,0.193237305,0.571777344,-16.9067383,226.379395,-81.4819336
39,194992,494992,39,-4012,1437,4295,-241,3729,-1325,-0.489746094,0.175415039,0.524291992,-14.7094727,227.600098,-80.871582
40,200000,500000,40,-4246,1365,4046,-208,3743,-1321,-0.518310547,0.166625977,0.493896484,-12.6953125,228.45459,-80.6274414
