sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,31245,331245,0.561401367,-0.141662598,-0.670532227,0.463806152,0.72265625,-2.33203125,-3.04296875,-7.9921875,5.4609375,1.6484375,0.044921875,-2.66601562,2.25390625
1,31293,331293,0.550598145,-0.155090332,-0.672607422,0.469421387,0.78125,-1.4453125,-1.94140625,-6.09375,6.9140625,3.1875,0.044921875,-2.66601562,2.25390625
2,31326,331326,0.540161133,-0.168762207,-0.674133301,0.47467041,0.78125,-1.4453125,-1.94140625,-6.09375,6.9140625,3.1875,0.32421875,-2.65820312,2.41015625
3,31373,331373,0.530822754,-0.181945801,-0.675048828,0.479003906,2.01953125,-1.64453125,-3.29296875,-5.5703125,7.1875,3.46875,0.32421875,-2.65820312,2.41015625
4,31405,331405,0.52166748,-0.195861816,-0.675476074,0.482910156,2.01953125,-1.64453125,-3.29296875,-5.5703125,7.1875,3.46875,0.615234375,-2.31054688,2.14453125
5,31453,331453,0.513305664,-0.209228516,-0.675598145,0.48614502,2.66015625,-1.21875,-2.4375,-5.0625,7.453125,3.6484375,0.615234375,-2.31054688,2.14453125
6,31485,331485,0.505004883,-0.222351074,-0.675415039,0.489257812,2.66015625,-1.21875,-2.4375,-5.0625,7.453125,3.6484375,0.625,-2.265625,2.16015625
7,43947,343947,0.360229492,-0.407165527,-0.65447998,0.52545166,2.66015625,-1.21875,-2.4375,-4.5703125,7.6953125,3.75,0.97265625,-2.16210938,2.29492188
8,50491,350491,0.351135254,-0.420776367,-0.649841309,0.526611328,2.41015625,-0.328125,0.69140625,-0.5234375,8.78125,3.890625,0.97265625,-2.16210938,2.29492188
9,64311,364311,0.342895508,-0.434692383,-0.644470215,0.52734375,2.41015625,-0.328125,0.69140625,-0.5234375,8.78125,3.890625,1.46484375,-2.08789062,2.34570312
10,69767,369767,0.335693359,-0.448669434,-0.638549805,0.527526855,2.3984375,-1.00390625,-0.79296875,0.0625,8.8828125,3.6875,1.46484375,-2.08789062,2.34570312
11,84137,384137,0.328552246,-0.463867188,-0.631530762,0.527282715,2.3984375,-1.00390625,-0.79296875,0.0625,8.8828125,3.6875,1.8125,-1.93554688,2.26757812
12,90092,390092,0.321899414,-0.477966309,-0.624633789,0.526977539,2.765625,0.16796875,-0.5859375,0.6171875,8.9765625,3.3671875,1.8125,-1.93554688,2.26757812
