sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-6477,5396,-109,-23,372,530,-0.790649414,0.658691406,-0.0133056641,-1.40380859,22.7050781,32.3486328
1,5008,305008,1,-6280,5518,-168,-87,390,542,-0.766601562,0.673583984,-0.0205078125,-5.31005859,23.8037109,33.0810547
2,10000,310000,2,-6043,5594,-306,-176,415,552,-0.737670898,0.682861328,-0.0373535156,-10.7421875,25.3295898,33.6914062
3,15008,315008,3,-5827,5611,-483,-262,462,561,-0.711303711,0.684936523,-0.0589599609,-15.9912109,28.1982422,34.2407227
4,20000,320000,4,-5697,5609,-673,-337,525,578,-0.69543457,0.684692383,-0.0821533203,-20.5688477,32.043457,35.2783203
5,25008,325008,5,-5646,5595,-843,-394,569,602,-0.689208984,0.682983398,-0.102905273,-24.0478516,34.7290039,36.7431641
6,30000,330000,6,-5575,5573,-974,-428,590,624,-0.680541992,0.680297852,-0.118896484,-26.1230469,36.0107422,38.0859375
7,35008,335008,7,-5511,5529,-1113,-435,600,648,-0.672729492,0.674926758,-0.135864258,-26.550293,36.6210938,39.5507812
8,40000,340000,8,-5616,5488,-1218,-397,606,668,-0.685546875,0.669921875,-0.148681641,-24.230957,36.9873047,40.7714844
9,45008,345008,9,-5747,5493,-1276,-328,602,684,-0.701538086,0.670532227,-0.155761719,-20.0195312,36.7431641,41.7480469
10,50000,350000,10,-5859,5470,-1264,-250,575,703,-0.715209961,0.667724609,-0.154296875,-15.2587891,35.0952148,42.9077148
11,55008,355008,11,-5979,5430,-1207,-175,524,721,-0.729858398,0.662841797,-0.147338867,-10.6811523,31.9824219,44.0063477
12,60000,360000,12,-6096,5437,-1160,-95,444,734,-0.744140625,0.663696289,-0.141601562,-5.79833984,27.0996094,44.7998047
13,65008,365008,13,-6211,5475,-1027,-2,368,737,-0.758178711,0.668334961,-0.125366211,-0.122070312,22.4609375,44.9829102
14,70000,370000,14,-6320,5551,-843,87,317,723,-0.771484375,0.677612305,-0.102905273,5.31005859,19.3481445,44.128418
15,75008,375008,15,-6374,5630,-701,169,271,693,-0.778076172,0.687255859,-0.0855712891,10.3149414,16.5405273,42.2973633
16,80000,380000,16,-6327,5682,-586,252,228,660,-0.772338867,0.693603516,-0.0715332031,15.3808594,13.9160156,40.2832031
17,85008,385008,17,-6292,5768,-480,334,197,628,-0.768066406,0.704101562,-0.05859375,20.3857422,12.0239258,38.3300781
18,90000,390000,18,-6261,5924,-337,389,191,591,-0.764282227,0.723144531,-0.0411376953,23.7426758,11.6577148,36.0717773
19,95008,395008,19,-6139,6073,-108,391,218,544,-0.749389648,0.741333008,-0.0131835938,23.8647461,13.3056641,33.203125
20,100000,400000,20,-5994,6162,82,334,277,495,-0.731689453,0.752197266,0.0100097656,20.3857422,16.9067383,30.2124023
21,105008,405008,21,-5907,6183,55,253,350,459,-0.721069336,0.754760742,0.00671386719,15.4418945,21.3623047,28.0151367
22,110000,410000,22,-5858,6120,-108,190,408,433,-0.715087891,0.747070312,-0.0131835938,11.5966797,24.9023438,26.4282227
23,115008,415008,23,-5852,6041,-197,135,449,414,-0.714355469,0.737426758,-0.0240478516,8.23974609,27.4047852,25.2685547
24,120000,420000,24,-5878,5953,-271,61,491,397,-0.717529297,0.72668457,-0.0330810547,3.72314453,29.9682617,24.230957
