sample_index,offset_us,timestamp_us,quat_i,quat_j,quat_k,quat_real,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps
0,31302,331302,0.558532715,0.405090332,-0.602844238,0.400634766,3.76953125,0.53125,-0.24609375,-8.5859375,1.296875,4.2890625,-0.478515625,3.125,-1.0703125
1,31350,331350,0.564819336,0.415344238,-0.595397949,0.392333984,2.25,-0.48828125,-2.328125,-9.671875,-0.328125,0.6640625,-0.478515625,3.125,-1.0703125
2,31382,331382,0.571105957,0.424926758,-0.588195801,0.383789062,2.25,-0.48828125,-2.328125,-9.671875,-0.328125,0.6640625,-0.234375,3.01953125,-0.982421875
3,31430,331430,0.577331543,0.434020996,-0.580993652,0.375305176,2.6875,-0.5625,-1.51171875,-9.6875,-0.5234375,0.078125,-0.234375,3.01953125,-0.982421875
4,31462,331462,0.583190918,0.442932129,-0.573669434,0.366821289,2.6875,-0.5625,-1.51171875,-9.6875,-0.5234375,0.078125,-0.265625,2.88476562,-0.951171875
5,31509,331509,0.588562012,0.451599121,-0.56652832,0.358764648,2.12109375,-0.421875,-1.40234375,-9.65625,-0.703125,-0.4921875,-0.265625,2.88476562,-0.951171875
6,31541,331541,0.593505859,0.460144043,-0.559326172,0.350952148,2.12109375,-0.421875,-1.40234375,-9.65625,-0.703125,-0.4921875,-0.337890625,2.68554688,-0.912109375
7,39446,339446,0.641174316,0.538757324,-0.474853516,0.270507812,2.12109375,-0.421875,-1.40234375,-9.6015625,-0.875,-1.03125,-0.3828125,1.6953125,-0.45703125
8,51742,351742,0.642944336,0.543273926,-0.469421387,0.266540527,2.12109375,-0.421875,-1.40234375,-9.6015625,-0.875,-1.03125,-0.42578125,1.44726562,-0.462890625
9,58881,358881,0.644287109,0.547485352,-0.464599609,0.263244629,1.265625,-0.09765625,-2.2265625,-8.7265625,-1.5625,-3.84375,-0.42578125,1.44726562,-0.462890625
10,69287,369287,0.645385742,0.551757812,-0.459838867,0.260131836,1.265625,-0.09765625,-2.2265625,-8.7265625,-1.5625,-3.84375,-0.455078125,1.20507812,-0.462890625
11,76041,376041,0.646118164,0.555725098,-0.455444336,0.257385254,1.06640625,-0.1640625,-2.52734375,-8.6015625,-1.609375,-4.078125,-0.455078125,1.20507812,-0.462890625
12,90345,390345,0.646606445,0.559387207,-0.451599121,0.255004883,1.06640625,-0.1640625,-2.52734375,-8.6015625,-1.609375,-4.078125,-0.396484375,0.931640625,-0.423828125
13,99173,399173,0.646911621,0.5625,-0.448364258,0.252990723,1.0390625,-0.5078125,-2.82421875,-8.5,-1.6484375,-4.28125,-0.396484375,0.931640625,-0.423828125
14,109400,409400,0.647094727,0.565612793,-0.445373535,0.251098633,1.0390625,-0.5078125,-2.82421875,-8.5,-1.6484375,-4.28125,-0.3203125,0.7109375,-0.376953125
15,116155,416155,0.647155762,0.568115234,-0.442993164,0.249389648,0.984375,-0.69921875,-2.8203125,-8.40625,-1.6875,-4.4375,-0.3203125,0.7109375,-0.376953125
16,129035,429035,0.647216797,0.57019043,-0.441162109,0.247741699,0.984375,-0.69921875,-2.8203125,-8.40625,-1.6875,-4.4375,-0.12109375,0.509765625,-0.29296875
17,138605,438605,0.647399902,0.571716309,-0.439819336,0.24609375,0.953125,-1.05078125,-2.52734375,-8.3359375,-1.71875,-4.5390625,-0.12109375,0.509765625,-0.29296875
18,149078,449078,0.647705078,0.572753906,-0.438903809,0.244384766,0.953125,-1.05078125,-2.52734375,-8.3359375,-1.71875,-4.5390625,0.080078125,0.37109375,-0.181640625
19,155843,455843,0.648132324,0.573425293,-0.438354492,0.242797852,0.8984375,-1.05078125,-2.140625,-8.28125,-1.7578125,-4.6171875,0.080078125,0.37109375,-0.181640625
20,168985,468985,0.648498535,0.573791504,-0.437927246,0.241577148,0.8984375,-1.05078125,-2.140625,-8.28125,-1.7578125,-4.6171875,0.068359375,0.2109375,-0.0625
21,178884,478884,0.648803711,0.574035645,-0.43762207,0.240966797,0.7890625,-0.7890625,-1.86328125,-8.25,-1.7890625,-4.6640625,0.068359375,0.2109375,-0.0625
22,189921,489921,0.649047852,0.57409668,-0.437316895,0.240661621,0.7890625,-0.7890625,-1.86328125,-8.25,-1.7890625,-4.6640625,0.017578125,0.07421875,0.017578125
23,195539,495539,0.649230957,0.573974609,-0.437255859,0.240539551,0.69140625,-0.75,-1.3359375,-8.2265625,-1.7890625,-4.6953125,0.017578125,0.07421875,0.017578125
24,207508,507508,0.649475098,0.573608398,-0.437255859,0.240722656,0.69140625,-0.75,-1.3359375,-8.2265625,-1.7890625,-4.6953125,0.01953125,-0.021484375,0.091796875
