sample_index,offset_us,timestamp_us,sequence,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,300000,0,-6547,-3688,-3216,364,-1815,734,-0.799194336,-0.450195312,-0.392578125,22.2167969,-110.778809,44.7998047
1,4992,304992,1,-6532,-3655,-3146,359,-1789,701,-0.797363281,-0.446166992,-0.384033203,21.9116211,-109.191895,42.7856445
2,10000,310000,2,-6491,-3632,-3026,352,-1761,685,-0.792358398,-0.443359375,-0.369384766,21.484375,-107.48291,41.809082
3,14992,314992,3,-6535,-3595,-2878,330,-1738,678,-0.797729492,-0.438842773,-0.351318359,20.1416016,-106.079102,41.3818359
4,20000,320000,4,-6571,-3573,-2790,302,-1710,657,-0.802124023,-0.436157227,-0.340576172,18.4326172,-104.370117,40.1000977
5,24992,324992,5,-6607,-3583,-2743,285,-1677,635,-0.806518555,-0.43737793,-0.334838867,17.3950195,-102.355957,38.7573242
6,30000,330000,6,-6663,-3614,-2672,277,-1641,612,-0.813354492,-0.441162109,-0.326171875,16.9067383,-100.158691,37.3535156
7,34992,334992,7,-6700,-3653,-2621,270,-1617,596,-0.817871094,-0.445922852,-0.319946289,16.4794922,-98.6938477,36.3769531
8,40000,340000,8,-6744,-3678,-2590,273,-1602,586,-0.823242188,-0.448974609,-0.316162109,16.6625977,-97.7783203,35.7666016
9,44992,344992,9,-6739,-3674,-2514,287,-1592,574,-0.822631836,-0.448486328,-0.306884766,17.5170898,-97.1679688,35.0341797
10,50000,350000,10,-6684,-3662,-2442,294,-1584,564,-0.815917969,-0.447021484,-0.298095703,17.9443359,-96.6796875,34.4238281
11,54992,354992,11,-6620,-3660,-2422,300,-1566,554,-0.808105469,-0.446777344,-0.295654297,18.3105469,-95.5810547,33.8134766
12,60000,360000,12,-6581,-3629,-2356,313,-1551,544,-0.803344727,-0.442993164,-0.287597656,19.1040039,-94.6655273,33.203125
13,64992,364992,13,-6588,-3564,-2260,316,-1534,536,-0.804199219,-0.435058594,-0.275878906,19.2871094,-93.6279297,32.7148438
14,70000,370000,14,-6609,-3500,-2221,311,-1515,525,-0.806762695,-0.427246094,-0.271118164,18.9819336,-92.4682617,32.043457
15,74992,374992,15,-6638,-3447,-2185,302,-1501,514,-0.810302734,-0.420776367,-0.266723633,18.4326172,-91.6137695,31.3720703
16,80000,380000,16,-6707,-3378,-2161,292,-1485,499,-0.818725586,-0.412353516,-0.263793945,17.8222656,-90.637207,30.456543
17,84992,384992,17,-6773,-3294,-2160,288,-1471,477,-0.826782227,-0.402099609,-0.263671875,17.578125,-89.7827148,29.1137695
18,90000,390000,18,-6805,-3177,-2105,288,-1455,449,-0.830688477,-0.387817383,-0.256958008,17.578125,-88.8061523,27.4047852
19,94992,394992,19,-6817,-3053,-2001,286,-1429,414,-0.83215332,-0.372680664,-0.244262695,17.4560547,-87.2192383,25.2685547
20,100000,400000,20,-6808,-2950,-1881,264,-1401,381,-0.831054688,-0.360107422,-0.229614258,16.1132812,-85.5102539,23.2543945
