Altium Designer Pick and Place Locations
F:\OneDrive\Altium\Project Archieve (12 dec, 2024)\172-ExoSkeleton_PCB\Exoskeleton Master PCB V1.0\Project Outputs for ExoSkeleton Master PCB V1.0\Pick Place\Pick Place for PCB V1.0(Proto1).csv

========================================================================================================================
File Design Information:

Date:       30-03-26
Time:       18:22
Revision:   a333e97f3abee7a9644298e7609518a29cfd947c
Variant:    Proto1
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"ANT1","53.3000mm","101.8000mm","TopLayer","180"
"ANT2","92.7000mm","101.8000mm","TopLayer","0"
"C1","76.5000mm","66.6500mm","TopLayer","270"
"C2","75.6000mm","66.6500mm","TopLayer","270"
"C3","78.1500mm","66.9500mm","TopLayer","180"
"C4","78.5000mm","68.2000mm","TopLayer","270"
"C5","77.6000mm","68.2000mm","TopLayer","270"
"C6","77.9500mm","69.4500mm","TopLayer","0"
"C7","63.7000mm","64.4000mm","BottomLayer","90"
"C8","71.9000mm","68.3000mm","TopLayer","90"
"C9","72.8000mm","68.3000mm","TopLayer","90"
"C10","72.8000mm","69.9000mm","TopLayer","270"
"C11","82.9000mm","87.3000mm","BottomLayer","90"
"C12","82.9000mm","87.3000mm","TopLayer","90"
"C13","82.9000mm","85.0000mm","BottomLayer","270"
"C14","82.9000mm","85.0000mm","TopLayer","270"
"C15","88.1000mm","84.9000mm","TopLayer","270"
"C16","88.1000mm","87.3000mm","TopLayer","90"
"C17","84.5000mm","88.4000mm","BottomLayer","0"
"C18","82.9000mm","79.3000mm","TopLayer","90"
"C19","82.9000mm","79.3000mm","BottomLayer","90"
"C20","82.9000mm","77.0000mm","TopLayer","270"
"C21","82.9000mm","77.0000mm","BottomLayer","270"
"C22","88.1000mm","76.9000mm","TopLayer","270"
"C23","88.1000mm","79.3000mm","TopLayer","90"
"C24","84.5000mm","80.4000mm","BottomLayer","0"
"C25","73.2000mm","85.0000mm","BottomLayer","180"
"C26","58.8000mm","82.9000mm","TopLayer","0"
"C27","58.8000mm","83.8000mm","TopLayer","0"
"C28","68.3000mm","83.2250mm","BottomLayer","90"
"C30","75.2000mm","78.2000mm","BottomLayer","90"
"C31","74.0000mm","77.3000mm","BottomLayer","180"
"C32","56.8000mm","62.2000mm","BottomLayer","90"
"C33","55.9000mm","62.2000mm","BottomLayer","90"
"C34","58.8000mm","68.7000mm","BottomLayer","180"
"C35","58.8000mm","69.6000mm","BottomLayer","180"
"C36","64.0500mm","91.3000mm","BottomLayer","90"
"C37","63.0500mm","98.7000mm","BottomLayer","270"
"C38","62.2000mm","98.7000mm","BottomLayer","270"
"C39","60.5500mm","98.7000mm","BottomLayer","270"
"C40","61.3500mm","98.7000mm","BottomLayer","270"
"C41","65.4500mm","98.8000mm","BottomLayer","270"
"C42","64.5500mm","98.8000mm","BottomLayer","270"
"C43","62.2000mm","93.8500mm","BottomLayer","0"
"C44","68.2000mm","92.1000mm","BottomLayer","135"
"C45","62.2000mm","92.1500mm","BottomLayer","0"
"C46","62.2000mm","93.0000mm","BottomLayer","0"
"C47","60.5000mm","95.0000mm","TopLayer","90"
"C48","59.1000mm","92.0750mm","TopLayer","270"
"C49","70.4000mm","95.5250mm","TopLayer","270"
"C50","71.3000mm","95.5250mm","TopLayer","270"
